Date,Update ID,Update URL,Update title,Update description,Update outbound URL,Update content text,Update submitted image URL,Update share media category,Impressions,Clicks,Likes,Comments,Shares,Engagements,Engagement rate (%)
2021-01-10,6753935305323147264,https://www.linkedin.com/feed/update/urn:li:share:6753935305323147264,EXPLORE | Data Science Course Overview,,https://www.youtube.com/watch?v=tCkwnPur7jA&feature=emb_imp_woyt,"Register now for our online Data Science course starting in one week's time.

https://lnkd.in/es3qsDR",https://media.licdn.com/dms/image/sync/C4E27AQG-V89QjGSAYQ/articleshare-shrink_1280_800/0/1681392801646?e=1682553600&v=beta&t=gAkXb_kydL2qQYMpHvlQUIe30HvC19qNMLvydyjLsI8,ARTICLE,0,0,20,1,0,21,
2021-01-15,6755849417502339072,https://www.linkedin.com/feed/update/urn:li:share:6755849417502339072,Explore Data Science Academy debuts online data engineering course,Africa’s largest data science academy introduces an online data engineering course amid the increasing demand for cloud computing skills.,https://www.itweb.co.za/content/WnpNgq2K4YGvVrGd,https://lnkd.in/eYSbrqM,https://media.licdn.com/dms/image/sync/C4E27AQGzoU2T7ruqRg/articleshare-shrink_800/0/1680789532452?e=1682553600&v=beta&t=-2lNLigxUb3aC1DG_meNXF7QEIolArD426MK1i7goLc,ARTICLE,1,0,78,3,1,82,8200
2021-02-09,6764822478226259968,https://www.linkedin.com/feed/update/urn:li:share:6764822478226259968,"Keep the fun in learning and start learning SQL today. 
Knight Lab designed the SQL Murder Mystery to be both a self-directed lesson to learn SQL concepts and commands and a fun game for experienced SQL users to solve an intriguing crime.
https://lnkd.in/d8U33Yf
#learningneverstops #sqlqueries #datascience",,https://media.licdn.com/dms/image/C4D22AQGgzrJzEi2j0Q/feedshare-shrink_2048_1536/0/1612859361774?e=1684972800&v=beta&t=TodrFBSbP2glJBo7EhvPvVJ6ZzTo98JbTwMARjgxOLw,"Keep the fun in learning and start learning SQL today. 
Knight Lab designed the SQL Murder Mystery to be both a self-directed lesson to learn SQL concepts and commands and a fun game for experienced SQL users to solve an intriguing crime.
https://lnkd.in/d8U33Yf
#learningneverstops #sqlqueries #datascience",https://media.licdn.com/dms/image/C4D22AQGgzrJzEi2j0Q/feedshare-shrink_2048_1536/0/1612859361774?e=1684972800&v=beta&t=TodrFBSbP2glJBo7EhvPvVJ6ZzTo98JbTwMARjgxOLw,IMAGE,3,0,30,0,0,30,1000
2021-02-10,6765183153402335232,https://www.linkedin.com/feed/update/urn:li:share:6765183153402335232,"Did you know that you can do machine learning with SQL? 
The blog takes you through the steps of creating a Linear Regression Model in SQL using the least squares regression formula.
https://lnkd.in/deiUENj

#datascience #machinelearning #sql #forecasting",,https://media.licdn.com/dms/image/C4D22AQEAkvddUkIweA/feedshare-shrink_2048_1536/0/1612945354162?e=1684972800&v=beta&t=W_HCRQUQD8SsPvz_K4uAYSekreefVBGCblKpaJ858uI,"Did you know that you can do machine learning with SQL? 
The blog takes you through the steps of creating a Linear Regression Model in SQL using the least squares regression formula.
https://lnkd.in/deiUENj

#datascience #machinelearning #sql #forecasting",https://media.licdn.com/dms/image/C4D22AQEAkvddUkIweA/feedshare-shrink_2048_1536/0/1612945354162?e=1684972800&v=beta&t=W_HCRQUQD8SsPvz_K4uAYSekreefVBGCblKpaJ858uI,IMAGE,2,0,28,0,2,30,1500
2021-02-11,6765545999566938112,https://www.linkedin.com/feed/update/urn:li:share:6765545999566938112,"Continuing with this week’s theme on SQL.
Have a look at this article that covers the importance of SQL, a list of resources to learn SQL as well as the best SQL Query practice platforms.
Which platforms have you found the best to practice your SQL skills?

https://lnkd.in/dskKeuq

#sql #datascience #datamodeling #dataanalytics #learningplatform ",,https://media.licdn.com/dms/image/C4D22AQH3NyhbZhkZfw/feedshare-shrink_2048_1536/0/1613031863057?e=1684972800&v=beta&t=n3h1suyYgxYDUMS7woPx6bzpvYYFqsMv47OzaqjRY1E,"Continuing with this week’s theme on SQL.
Have a look at this article that covers the importance of SQL, a list of resources to learn SQL as well as the best SQL Query practice platforms.
Which platforms have you found the best to practice your SQL skills?

https://lnkd.in/dskKeuq

#sql #datascience #datamodeling #dataanalytics #learningplatform ",https://media.licdn.com/dms/image/C4D22AQH3NyhbZhkZfw/feedshare-shrink_2048_1536/0/1613031863057?e=1684972800&v=beta&t=n3h1suyYgxYDUMS7woPx6bzpvYYFqsMv47OzaqjRY1E,IMAGE,2,0,28,0,1,29,1450
2021-02-12,6765966471655899136,https://www.linkedin.com/feed/update/urn:li:ugcPost:6765966471655899136,"It is Friday and to finish off our SQL theme for the week.
Have a look at this great SQL Cheat Sheet and add SQLTutorial to your list of resources.

https://lnkd.in/dMChrrn
#sql #datascience #resourcesharing ",,,"It is Friday and to finish off our SQL theme for the week.
Have a look at this great SQL Cheat Sheet and add SQLTutorial to your list of resources.

https://lnkd.in/dMChrrn
#sql #datascience #resourcesharing ",,,4,1,49,3,3,56,1400
2021-02-15,6767156984371257344,https://www.linkedin.com/feed/update/urn:li:share:6767156984371257344,"Have a look at this: https://lnkd.in/fqfZKJi

A gentle introduction to machine learning, deep learning and model interpretability presented in a very fun and interactive way.

#datascience #artificialintelliegence #machinelearning #deeplearning ",,https://media.licdn.com/dms/image/C4D22AQGDETZJrePaww/feedshare-shrink_2048_1536/0/1613415952157?e=1684972800&v=beta&t=-SpE0RTWIV9FQTU7eDuD45urByN-4ImBxi9Y4rrlYno,"Have a look at this: https://lnkd.in/fqfZKJi

A gentle introduction to machine learning, deep learning and model interpretability presented in a very fun and interactive way.

#datascience #artificialintelliegence #machinelearning #deeplearning ",https://media.licdn.com/dms/image/C4D22AQGDETZJrePaww/feedshare-shrink_2048_1536/0/1613415952157?e=1684972800&v=beta&t=-SpE0RTWIV9FQTU7eDuD45urByN-4ImBxi9Y4rrlYno,IMAGE,2,0,19,0,0,19,950
2021-02-16,6767540364183138304,https://www.linkedin.com/feed/update/urn:li:share:6767540364183138304,"What is the main difference between Machine Learning and Deep Learning?

Read more about it on this blog post: https://lnkd.in/dTeP5uX

#machinelearning #deeplearningai #artificialintelligenceai #datascience  ",,https://media.licdn.com/dms/image/C4D22AQG98gZ0OMIxhg/feedshare-shrink_2048_1536/0/1613507355912?e=1684972800&v=beta&t=w-Z2LI9FzhWD8C5rKKh38MOHiIbfGJb0jem7bOTUOXk,"What is the main difference between Machine Learning and Deep Learning?

Read more about it on this blog post: https://lnkd.in/dTeP5uX

#machinelearning #deeplearningai #artificialintelligenceai #datascience  ",https://media.licdn.com/dms/image/C4D22AQG98gZ0OMIxhg/feedshare-shrink_2048_1536/0/1613507355912?e=1684972800&v=beta&t=w-Z2LI9FzhWD8C5rKKh38MOHiIbfGJb0jem7bOTUOXk,IMAGE,2,0,18,0,1,19,950
2021-02-19,6768437277388480512,https://www.linkedin.com/feed/update/urn:li:ugcPost:6768437277388480512,"The theme for this week centred around Machine Learning. 
There are so many different Machine Learning algorithms, but how do we decide which algorithm is the best to use?

Have a look at this Machine Learning cheat sheet designed by Microsoft. Download it to add to your list of resources to use. 

#microsoft #machinelearning #algorithmsmadeeasy #datascience  #resourcesharing #artificialintelligence",,,"The theme for this week centred around Machine Learning. 
There are so many different Machine Learning algorithms, but how do we decide which algorithm is the best to use?

Have a look at this Machine Learning cheat sheet designed by Microsoft. Download it to add to your list of resources to use. 

#microsoft #machinelearning #algorithmsmadeeasy #datascience  #resourcesharing #artificialintelligence",,,5,2,16,0,2,20,400
2021-02-21,6769136702578581504,https://www.linkedin.com/feed/update/urn:li:share:6769136702578581504,Visualisation | Course Overview,,https://www.youtube.com/watch?v=leTobbSO8G8&feature=youtu.be,"Check out our new Visualisation for Data Science Course just launched.

https://lnkd.in/e4TzxTa",https://media.licdn.com/dms/image/sync/C4E27AQHb1TFAIdByIw/articleshare-shrink_1280_800/0/1681823076437?e=1682553600&v=beta&t=dEUTtqlOkuAp_sFg0F-R8u3wM_XQwKXDIMY0HDtx8P8,ARTICLE,1,0,10,0,0,10,1000
