Date,Post ID,Network,Post Type,Content Type,Profile,Link,Post,Linked Content,Impressions,Engagements,Engagement Rate (per Impression),Organic Impressions,Potential Reach,Reactions,Likes,Comments,Shares,Post Link Clicks,Other Post Clicks,Post Clicks (All),Other Engagements,Video Views
1/10/2022 10:21 AM,1480454663308824578,Twitter,Tweet,Photo,@explore_ai_acad,https://twitter.com/exp_datascience/status/1480454663308824578,"One week to go until our part-time 2022 courses start!
 
Data Science: https://t.co/gTt9zb4hYf

Data Engineering: https://t.co/RUXor2XpZg

#DataScience  #dataengineering  #elearning #BigData #MachineLearning https://t.co/vtZZup6lNC","https://explore-datascience.net/course/info/1/3/online, https://explore-datascience.net/course/info/3/3/online, https://twitter.com/data_explore/status/1480454663308824578/photo/1",436,39,8.94%,436,"12,095",7,7,0,2,7,23,30,0,
1/11/2022 2:08 PM,1480874273225035777,Twitter,Tweet,Photo,@explore_ai_acad,https://twitter.com/exp_datascience/status/1480874273225035777,"Still on the fence if you should enrol in our data science course?
This article discusses five indisputable reasons why you should.

https://t.co/BdhQ5q3DAM

Enrol now! - https://t.co/gTt9zb4hYf

#machinelearning #datasience #elearning #careerdevelopment https://t.co/9KABS6DvbA","https://www.careerlauncher.com/data-school-pgpdsbda/data-science-course.html, https://explore-datascience.net/course/info/1/3/online, https://twitter.com/data_explore/status/1480874273225035777/photo/1",272,17,6.25%,272,"1,293",2,2,0,0,7,8,15,0,
1/12/2022 1:55 PM,1481233363210059776,Twitter,Tweet,Photo,@explore_ai_acad,https://twitter.com/exp_datascience/status/1481233363210059776,"Explore Data Science Academy, in partnership with AWS, ensures that our students gain the must-have knowledge and practical experience in cloud computing.

Podcast: https://t.co/AgYpZW9zey

Data Engineering: https://t.co/RUXor2XpZg

#dataengineering #AWS #CloudComputing https://t.co/7U8DTgTGua","https://open.spotify.com/episode/0j9LgFJmWRY5ytROMGbMQp?si=1BSF5wKASIqv__P4i30npg, https://explore-datascience.net/course/info/3/3/online, https://twitter.com/data_explore/status/1481233363210059776/photo/1",522,35,6.70%,522,"2,226",8,8,0,3,12,12,24,0,
1/13/2022 4:36 PM,1481636226130059265,Twitter,Tweet,Photo,@explore_ai_acad,https://twitter.com/exp_datascience/status/1481636226130059265,"Select the course that fits your interest, schedule and pocket.
4 days remaining to enrol.

https://t.co/M4JdGH2OwX

#datascience #dataengineering #elearning #newcareer https://t.co/JoaC5EHnu0","https://explore-datascience.net/, https://twitter.com/data_explore/status/1481636226130059265/photo/1",304,38,12.50%,304,"1,293",1,1,0,0,0,37,37,0,
1/17/2022 2:40 PM,1483056722675650563,Twitter,Tweet,Photo,@explore_ai_acad,https://twitter.com/exp_datascience/status/1483056722675650563,"Welcome to all the students who enrolled for our January 2022 intake. Enjoy the journey with us!

Over the next few months, we will be posting weekly sneak peeks of what our students are learning. Don't forget to check in on these. 

https://t.co/RUXor2XpZg

#elearning https://t.co/7QVKB5yPvO","https://explore-datascience.net/course/info/3/3/online, https://twitter.com/data_explore/status/1483056722675650563/photo/1",252,15,5.95%,252,"1,293",2,2,1,0,4,8,12,0,
1/19/2022 4:23 PM,1483807271163416578,Twitter,Tweet,Photo,@explore_ai_acad,https://twitter.com/exp_datascience/status/1483807271163416578,"Our courses are designed to make our students job-ready!

Within 6 - 12 months, our full-time and part-time students will learn some of the most valuable and up-to-date tech skills.

#DataScience #DataEngineering #CloudComputing  #SQL #MachineLearning #problemSolving #Python https://t.co/ucNMSX8dMi",https://twitter.com/data_explore/status/1483807271163416578/photo/1,425,27,6.35%,425,"1,674",6,6,0,3,,18,18,0,
1/21/2022 1:27 PM,1484487722249162753,Twitter,Tweet,Video,@explore_ai_acad,https://twitter.com/exp_datascience/status/1484487722249162753,"The best way to solve a problem, big or small, is to look at it in a structured way.

This week, our students were introduced to problem-solving. They will continuously hone this new skill as they learn how to apply various problem-solving frameworks.

#elearning #problemSolving https://t.co/TLTUtF21En",https://twitter.com/data_explore/status/1484487722249162753/photo/1,286,34,11.89%,286,"1,314",3,3,0,1,,30,30,0,70
1/25/2022 2:07 PM,1485947484094574593,Twitter,Tweet,Video,@explore_ai_acad,https://twitter.com/exp_datascience/status/1485947484094574593,"This week our students are focusing on data visualisation.

The insights gathered from data can be used to tell a story. An important aspect of a data scientist's role is communicating these insights. 

https://t.co/M4JdGHkpVx

#elearning #data #visualisation #communication https://t.co/I9RhFYjGxi","https://explore-datascience.net/, https://twitter.com/data_explore/status/1485947484094574593/photo/1",203,12,5.91%,203,"1,293",2,2,0,0,0,10,10,0,45
1/28/2022 1:27 PM,1487024555944292354,Twitter,Tweet,Photo,@explore_ai_acad,https://twitter.com/exp_datascience/status/1487024555944292354,"How do you know if the data plot should be a bar graph or a histogram? 

The answer depends on the type of data you are working with. Paying attention to categorical or numerical data will guide you in choosing the correct visuals.

#visualisation #datascience #datatypes #graphs https://t.co/Y0VYs1GzL2",https://twitter.com/data_explore/status/1487024555944292354/photo/1,427,40,9.37%,427,"2,123",9,9,0,4,,27,27,0,
2/1/2022 9:33 AM,1488415303633719298,Twitter,Tweet,Video,@explore_ai_acad,https://twitter.com/exp_datascience/status/1488415303633719298,"Our students are learning how to use Power BI to create data visualisations. There are numerous reasons why we have selected Power BI as our dashboard tool of choice.

Keep following our posts this week to learn more about Power BI.

#powerbi #datavisualisation #graphs #dashboard https://t.co/OopVhblG6K",https://twitter.com/data_explore/status/1488415303633719298/photo/1,317,22,6.94%,317,"2,161",5,5,0,2,,15,15,0,70
