,Date,Username,Location,Tweet,Sentiment
0,2023-03-11 06:15:11+00:00,Dante_Manda,,@explore_ai_acad I will. Thank you.,Positive
1,2023-03-09 12:22:03+00:00,explore_ai_acad,South Africa,@Dante_Manda Applications for the July 2023 cohort will open in mid-April. Keep an eye on our social media accounts for updates and announcements.,Neutral
2,2023-03-09 09:10:46+00:00,Dante_Manda,,@explore_ai_acad When are applications opening?,Neutral
3,2023-03-08 14:41:39+00:00,Mr__Nwankwo,Trenches,@explore_ai_acad Beautiful and interactive space.,Positive
4,2023-03-07 13:47:56+00:00,_techbarbie_,"Lagos, Nigeria","@alx_africa Please can anyone here answer this question. For the Data Science program will it be like  the Software Engineering program where there is a task to do everyday? 
@explore_ai @explore_ai_acad",Neutral
5,2023-03-06 17:03:28+00:00,Ndaruga2,global ,@alx_africa The link on @explore_ai_acad is corrupted,Negative
6,2023-03-06 11:58:25+00:00,explore_ai_acad,South Africa,"Join us tonight at 7pm EAT for a Twitter space with ExploreAI data experts in partnership with ALX, as they dive into the exciting world of data and discuss cutting-edge courses.

https://t.co/55YV2M5iLB

#ExploreAIAcademy #ALXAfrica #Data #DataScience #DataAnalytics",Neutral
7,2023-03-03 15:58:00+00:00,explore_ai_acad,South Africa,"We are excited to announce our partnership with @alx_africa, the African education powerhouse, to train 25,000 Africans in the dynamic fields of #datascience and #dataanalytics.

Read more about it here: https://t.co/sq5m9PTKld",Positive
8,2023-03-02 07:49:14+00:00,tech_financials,South Africa,SA Startup ExploreAI Academy Partners With ALX To Train 25 000 African Data Scientists https://t.co/XfAzqBKOxc #DataScience @explore_ai_acad #africa #DigitalEconomy,Positive
9,2023-02-15 10:10:02+00:00,wethinkcode,South Africa,"Calling all coders ⬇️⬇️⬇️ 

@explore_ai_acad @UmuziOrg @GirlCode_za @Geekulcha @codejika @CodeSpaceZA @Code4ChangeSA @CodeHubAfrica @project_codeX",Neutral
10,2023-01-19 11:00:58+00:00,explore_ai_acad,South Africa,@Grace_DOTA Please contact our delivery team at academy@explore.ai and they'll be able to help you with Athena.,Neutral
11,2023-01-18 07:44:07+00:00,Grace_DOTA,"Lagos, Nigeria",@explore_ai_acad I'm currently having a technical issue and I'm unable to login back to Athena since Monday on 16th. It keeps giving error message https://t.co/GPW0n1hUNC,Negative
12,2023-01-16 16:43:39+00:00,georgekcharles,,@explore_ai_acad Can I swap from data science to data engineering,Neutral
13,2023-01-16 16:40:52+00:00,georgekcharles,,@explore_ai_acad I have not gotten acceptance letter and the program starts today,Negative
14,2023-01-16 13:29:15+00:00,MissKki,,"@explore_ai_acad They won't regret,  I am enjoying every second  of being at Explore.",Positive
15,2023-01-16 13:25:05+00:00,explore_ai_acad,South Africa,"Welcome class of 2023 🚀 

To all students joining our 2023 cohort, we wish you the very best for the journey ahead!

We can’t wait to see you in class 👨‍💻

#ExploreAIAcademy #DataScientist #DataEngineer #WelcomeStudents #ClassOf2023 #StudyOnline https://t.co/mAcFwBu4S4",Positive
16,2023-01-16 12:02:06+00:00,explore_ai_acad,South Africa,"“Alexa, how can tech help make lives better?” 🔊

Alexa, Amazon's virtual assistant, uses natural language processing to understand and respond to human speech and carry out tasks based on voice commands.

#ExploreAIAcademy #Amazon
#NaturalLanguageProcessing
#VirtualAssistant https://t.co/PYsfAvtwYU",Neutral
17,2023-01-13 11:12:41+00:00,tanashatheone,,@explore_ai_acad Hi 👋. Do you receive an email if you didn’t get the scholarship?,Neutral
18,2023-01-13 09:48:05+00:00,explore_ai_acad,South Africa,"Last chance to apply⏰

Applications for our self-funded #DataScience and #DataEngineering courses close on January 15, 2023.

Follow the link to learn more about our flexible payment options.
https://t.co/SVTXomD8F6

#TuitionOptions #PayAsYouLearn #StudyOnline #CareerDevelopment https://t.co/CURZztfrHi",Neutral
19,2023-01-12 17:29:05+00:00,explore_ai_acad,South Africa,"Congratulations to our giveaway winners!

We wish you the very best for the year ahead! 💪

#ExploreAIAcademy
 #DataScience
 #DataEngineering
 #Education
 #GiveAway
 #Competition https://t.co/z1vATea1uO",Positive
20,2023-01-11 13:34:05+00:00,explore_ai_acad,South Africa,"Meet Jade! 🧑‍🚀

Jade's years of experience in management, starting a business, and passion for technology and human resources make her an excellent placement administrator.

Leave any questions for Jade in the comments below 💬

#ExploreAIAcademy #DataScience
#JobPlacement https://t.co/sCPgDkKzu8",Neutral
21,2023-01-10 10:30:08+00:00,explore_ai_acad,South Africa,"Why do we use data modelling? 💻 

Data modelling helps us understand how data are organised. It is an effective tool for analysing and working with large amounts of data.

#ExploreAIAcademy #DataScience #DataEngineering
#DataModelling
#DataAnalysis https://t.co/gj7On9eUZC",Neutral
22,2023-01-08 16:29:06+00:00,to_olx,"Johannesburg, South Africa","@Mokhele_K @explore_ai_acad is also another great one but not necessarily for Software Engineers, it's more Ai/ML and Data Science stuff.",Positive
23,2023-01-06 05:19:47+00:00,Thaabo,Giyani,"@explore_ai_acad I can't proceed with my application anymore due to an incomplete application. Sent you an email, but no response after so many days💔",Negative
24,2023-01-05 10:44:05+00:00,explore_ai_acad,South Africa,"Is AI replacing tech jobs? 🤖

AI and automation are not replacing jobs, but rather making tasks easier and more efficient. This allows people to focus on more creative and complex work.

#ExploreAIAcademy
#ArtificialIntelligence
#TechMyths
#Automation
#TechIndustry
#FutureOfWork https://t.co/C3Z5ti4hvw",Neutral
25,2023-01-05 08:59:58+00:00,mphoee19,South Africa,"@explore_ai_acad Hi 👋🏾,  just wanted to find out if the scholarship intakes are done or if they’re still happening, I got an email saying I have been shortlisted. I also applied for the program that allows me to pay after getting a job just in case i didn’t get the scholarship. Thanks",Neutral
26,2023-01-04 13:36:00+00:00,explore_ai_acad,South Africa,"Expert Explorers 🧑‍💻

In this Masterclass, Damien shares tips and suggestions on how to sell your product.

Click the link below to learn more.
https://t.co/PNDavQLj2Y

#ExploreAIAcademy #ExploreAI #Masterclass
#ProfessionalDevelopment
#SoftSkills
#Presenting",Neutral
27,2023-01-03 16:39:06+00:00,explore_ai_acad,South Africa,"We love hearing from our Explorers! 🧑‍🚀

Thank you for sharing your journey with us, Clara.

#ExploreAIAcademy #DataScience #DataEngineering #ExploreAIGraduate
#Testimonials
#SuccessStories https://t.co/Ka0BRe5n0K",Positive
28,2022-12-26 23:02:11+00:00,nizalbenneth,nigeria,"@explore_ai_acad Hi Matt, I am also trying to change my career path from academia to tech. I had my msc in parasitology and public health and I want to start a new career in data science. How do I go about it?",Neutral
29,2022-12-26 12:06:05+00:00,explore_ai_acad,South Africa,"Thoughts from Explorers 🧑‍🚀

We are as proud as you are, Mwenda.

#ExploreAIAcademy #DataScience #DataEngineering https://t.co/qCuBP5lB12",Positive
30,2022-12-22 10:26:05+00:00,explore_ai_acad,South Africa,"We love seeing our Explorers excel 🚀 

Thank you for sharing your journey with us, Kolawole.

#ExploreAIAcademy #DataScientist #DataEngineering
#StudentPlacement https://t.co/KRqARLS9ai",Positive
31,2022-12-20 13:50:06+00:00,explore_ai_acad,South Africa,"We love hearing from our Explorers 🧑‍🚀

We are really proud of all your hard work, Yinka.

#ExploreAIAcademy #DataScience #DataEngineering #ExploreGraduate https://t.co/zx0JxJfHNt",Positive
32,2022-12-19 15:30:16+00:00,explore_ai_acad,South Africa,"Data science in travel ✈️

Did you know that data science is used to optimise the tourism industry and keep travellers safe?

Where will you be travelling to this holiday season? 🗺️ 

#ExploreAIAcademy #DataScience #DataEngineering
#Travel https://t.co/NsOS3nuiPs",Neutral
33,2022-12-19 14:25:46+00:00,mphoee19,South Africa,"@explore_ai_acad Hi 👋🏾,  just wanted to find out if the scholarship intakes are done or if they’re still happening, I got an email saying I have been shortlisted. Thanks",Positive
34,2022-12-18 20:32:15+00:00,ke_nna_Faith,Footy Twitter,@explore_ai_acad 😭🤲🏿🙏🏿,Positive
35,2022-12-17 20:16:43+00:00,Its_nueLX,Database,@stevomtrue @Dayo_Ajisco @paulabartabajo_ @TyrellDowner @explore_ai_acad Thanks bro😊..more to come!!,Positive
36,2022-12-17 20:03:46+00:00,stevomtrue,Kenya ,@Its_nueLX @Dayo_Ajisco @paulabartabajo_ @TyrellDowner @explore_ai_acad I am enjoying following this project. Good job,Positive
37,2022-12-16 16:37:25+00:00,Iam__Fibonacci,,@explore_ai_acad i would like to get more info about this..,Neutral
38,2022-12-16 11:06:05+00:00,explore_ai_acad,South Africa,"Thanks to Sony’s AI system that analyses a player's unique style, gamers are able to play like never before 🎮

#ExploreAIAcademy
#DataScience
#DataDaily #Sony
#AI #Gaming https://t.co/kK0XXBmVBF",Neutral
39,2022-12-15 10:44:05+00:00,explore_ai_acad,South Africa,"Unsupervised machine learning explained 💻

Unsupervised learning is a branch of machine learning in which computers learn to find patterns and a structure in large datasets without human guidance.

#ExploreAIAcademy #MachineLearning 
#UnsupervisedLearning
#ClusterAnalysis https://t.co/ZuwsmWzhBf",Neutral
40,2022-12-14 11:43:08+00:00,Biz_IT,South Africa,Data science bursaries up for grabs through ExploreAI Academy competition @explore_ai_acad https://t.co/qJerMZPBPQ via @Biz_Education #datascience #bursary,Positive
41,2022-12-14 11:43:07+00:00,Biz_Education,South Africa,Data science bursaries up for grabs through ExploreAI Academy competition @explore_ai_acad https://t.co/JDC8PqVhLS via @Biz_Education #datascience #bursary,Positive
42,2022-12-14 11:43:07+00:00,Bizcommunity,South Africa,Data science bursaries up for grabs through ExploreAI Academy competition @explore_ai_acad https://t.co/ytCZdedmbb via @Biz_Education #datascience #bursary,Positive
43,2022-12-13 10:48:05+00:00,explore_ai_acad,South Africa,"Meet Matt! 🧑‍🚀

Matt got his first job in #DataScience in 2020, after spending several years working in academia as a biological sciences lecturer.

Do you have any questions for him? Leave them in the comments below 💬

#ExploreAIAcademy #DataEngineer #DigitalSolutions https://t.co/e78rDRGFxo",Positive
44,2022-12-12 12:49:14+00:00,explore_ai_acad,South Africa,"@vehiclespot_ng Hi, 

We are busy reviewing applications and applicants will get feedback before the end of December 2022.",Neutral
45,2022-12-10 08:16:45+00:00,vehiclespot_ng,,@explore_ai_acad Are you guys done with shortlisting because some of us haven't received congratulation email,Negative
46,2022-12-08 16:41:04+00:00,RaveEx12,,@explore_ai_acad thank you for the privilege to learn under your tutorship. I know there is much work to do but am happy I got through,Positive
47,2022-12-08 10:23:05+00:00,explore_ai_acad,South Africa,"Don’t let tuition hold you back 🧑‍🎓

Time to start that career in tech!

Follow the link below to get started
https://t.co/CEkHeWWu6n

#ExploreAIAcademy
#DataScientist
#DataEngineer
#TechMyths
#StudyOnline https://t.co/JoadJiFhH4",Neutral
48,2022-12-07 13:12:05+00:00,explore_ai_acad,South Africa,"Ready for that dream job? 💼 

Our Career Services programme helps graduates to land their dream job. We help with CV preparation, writing a good cover letter, and creating a unique portfolio.

#ExploreAIAcademy #DataScientist #DataEngineer #CareerServices #TechJob https://t.co/fTKiHKNhhW",Positive
49,2022-12-07 12:07:54+00:00,SWAN_forum,"West Sussex, England",Welcome to the newest SWAN Members! @southeastwater @MMSD_MKE @Envirosuite_Ltd @shaypwater @explore_ai_acad @Gradiant_Corp @SavoniaAMK #Waltero View the entire flock: https://t.co/qN8Q89GFEP #smartwater #smartwaternetworks https://t.co/smsIoIylnV,Positive
50,2022-12-06 10:50:00+00:00,explore_ai_acad,South Africa,"Inspiring Explorers 🚀

#Throwback to one of our favourite #ChooseGrowth sessions with ExploreAI data scientist, Jonathan Gerrand.

Follow the link below to learn about machine learning in healthcare.

https://t.co/cB0Y84RwTc

#ExploreAIAcademy
#Healthcare
#MachineLearning",Positive
51,2022-12-05 18:39:24+00:00,MahlatsiMakhub3,"Pretoria, South Africa",@explore_ai_acad It is end of December yet to reserve feedback,Negative
52,2022-12-01 10:56:05+00:00,explore_ai_acad,South Africa,"We love hearing from our Explorers! 🧑‍🚀

All the best in your future endeavours, Okon.

#ExploreAIAcademy #DataScience #DataEngineering #ExploreGraduate https://t.co/wb6rkTW4td",Positive
53,2022-12-01 06:43:50+00:00,Innovactionist,Still lost in translation,"@explore_ai_acad Would have loved to join, unfortunately 😞 https://t.co/iQ2tVYixj2",Negative
54,2022-11-30 21:29:15+00:00,MahlatsiMakhub3,"Pretoria, South Africa",@explore_ai_acad Okay I hope I win,Positive
55,2022-11-30 13:27:05+00:00,explore_ai_acad,South Africa,"Win a course in data science or data engineering worth R70,000!

To enter, use the form at this link. Complete the various actions to gain more entries. The winners will be the three people with the most entries when the competition closes 🏆

https://t.co/nFnmLevtOw https://t.co/eDQyMn3lWB",Positive
56,2022-11-30 04:18:08+00:00,Innovactionist,Still lost in translation,@explore_ai_acad 👂,Positive
